course,race_number,time,html_link
capalaba,1,2024-12-29 01:22:08,https://swiftbet.com.au//racing/greyhounds/capalaba/race-1-1963645-1088207
capalaba,2,2024-12-29 01:47:08,https://swiftbet.com.au//racing/greyhounds/capalaba/race-2-1963649-1088207
capalaba,3,2024-12-29 02:05:08,https://swiftbet.com.au//racing/greyhounds/capalaba/race-3-1963652-1088207
capalaba,4,2024-12-29 02:33:08,https://swiftbet.com.au//racing/greyhounds/capalaba/race-4-1963658-1088207
capalaba,5,2024-12-29 02:49:08,https://swiftbet.com.au//racing/greyhounds/capalaba/race-5-1963664-1088207
capalaba,6,2024-12-29 03:17:08,https://swiftbet.com.au//racing/greyhounds/capalaba/race-6-1963674-1088207
capalaba,7,2024-12-29 03:32:08,https://swiftbet.com.au//racing/greyhounds/capalaba/race-7-1963683-1088207
capalaba,8,2024-12-29 03:52:08,https://swiftbet.com.au//racing/greyhounds/capalaba/race-8-1963693-1088207
capalaba,9,2024-12-29 04:07:08,https://swiftbet.com.au//racing/greyhounds/capalaba/race-9-1963699-1088207
capalaba,10,2024-12-29 04:27:08,https://swiftbet.com.au//racing/greyhounds/capalaba/race-10-1963715-1088207
capalaba,11,2024-12-29 04:48:08,https://swiftbet.com.au//racing/greyhounds/capalaba/race-11-1963726-1088207
capalaba,12,2024-12-29 05:06:08,https://swiftbet.com.au//racing/greyhounds/capalaba/race-12-1963738-1088207
manukau,1,2024-12-29 00:07:08,https://swiftbet.com.au//racing/greyhounds/manukau/race-1-1963850-1088229
manukau,2,2024-12-29 00:24:08,https://swiftbet.com.au//racing/greyhounds/manukau/race-2-1963854-1088229
manukau,3,2024-12-29 00:41:08,https://swiftbet.com.au//racing/greyhounds/manukau/race-3-1963858-1088229
manukau,4,2024-12-29 00:59:08,https://swiftbet.com.au//racing/greyhounds/manukau/race-4-1963861-1088229
manukau,5,2024-12-29 01:16:08,https://swiftbet.com.au//racing/greyhounds/manukau/race-5-1963864-1088229
manukau,6,2024-12-29 01:32:08,https://swiftbet.com.au//racing/greyhounds/manukau/race-6-1963866-1088229
manukau,7,2024-12-29 01:50:08,https://swiftbet.com.au//racing/greyhounds/manukau/race-7-1963869-1088229
manukau,8,2024-12-29 02:08:08,https://swiftbet.com.au//racing/greyhounds/manukau/race-8-1963873-1088229
manukau,9,2024-12-29 02:28:08,https://swiftbet.com.au//racing/greyhounds/manukau/race-9-1963878-1088229
manukau,10,2024-12-29 02:46:08,https://swiftbet.com.au//racing/greyhounds/manukau/race-10-1963881-1088229
manukau,11,2024-12-29 03:03:08,https://swiftbet.com.au//racing/greyhounds/manukau/race-11-1963884-1088229
manukau,12,2024-12-29 03:23:08,https://swiftbet.com.au//racing/greyhounds/manukau/race-12-1963886-1088229
